,portfolio_return
2025-03-21,-0.0019081035630729134
2025-03-24,-0.00698220221772088
2025-03-25,0.0042926514694119995
2025-03-26,-0.008783939112090708
2025-03-27,0.0011696147344196375
2025-03-28,-0.006088072196681094
2025-03-31,0.008206730858941375
2025-04-01,0.00187093591236014
2025-04-02,-0.005498230610589372
2025-04-03,0.024941434138843394
2025-04-04,-0.013594727395958272
2025-04-07,0.00613250886389381
2025-04-08,0.013238332382914265
2025-04-09,-0.03313575171002911
2025-04-10,0.0209647521491155
2025-04-11,0.00023623681359705617
2025-04-14,-0.0015107368053293908
2025-04-15,0.008158268247179036
2025-04-16,0.0058026047475215215
2025-04-17,-0.0006979559238854128
2025-04-21,-0.002324570199136235
2025-04-22,0.0012090440747714903
2025-04-23,-0.006713746309554604
2025-04-24,-0.020886060681917135
2025-04-25,-0.002670747155129508
2025-04-28,0.00406638116750984
2025-04-29,0.0017068489217080768
2025-04-30,0.0037009060175198054
2025-05-01,-0.0003337520361569495
2025-05-02,-0.004752716334354435
2025-05-05,0.008537748331724866
2025-05-06,0.009809042745852785
2025-05-07,2.2923732366089367e-05
2025-05-08,-0.005321114696173478
2025-05-09,0.0034329374012886946
2025-05-12,-0.022831627781910654
2025-05-13,0.01755755794055998
2025-05-14,0.005595319499416229
2025-05-15,-0.005962719257488239
2025-05-16,-0.0062325181348447
2025-05-19,-0.0024482975934595505
2025-05-20,-0.0023588067268324555
2025-05-21,0.003141423704683637
2025-05-22,-0.001262254393726508
2025-05-23,0.0010164425100833473
2025-05-27,0.0019062937258399332
2025-05-28,0.0029020065913256884
2025-05-29,-0.00585494305080438
2025-05-30,0.010430008848781404
2025-06-02,-0.0006362389452713874
2025-06-03,-0.004756255797521089
2025-06-04,0.001805822648261075
2025-06-05,0.005110438987244762
2025-06-06,-0.006424221432406965
2025-06-09,-0.0063157480013558516
2025-06-10,-0.019233946272793862
2025-06-11,0.005767825319958507
2025-06-12,-0.0015365115847953191
2025-06-13,-0.004928533633965723
2025-06-16,0.008426602623664412
2025-06-17,0.006355888041243537
2025-06-18,0.0037628009453070646
2025-06-20,-0.0026398104026339225
2025-06-23,-0.0025501376167877533
2025-06-24,-0.0014134302287739278
2025-06-25,0.0052246264679220635
2025-06-26,0.004591038499037037
2025-06-27,-0.006246537967635477
2025-06-30,0.007049627355466135
2025-07-01,-0.023578142390435798
2025-07-02,-0.0026257520067077818
2025-07-03,0.00810021774807485
2025-07-07,0.0072798033400657755
2025-07-08,-0.015362662806650025
2025-07-09,0.0018977982198451553
2025-07-10,-0.002217575322530672
2025-07-11,-0.0001315456131028989
2025-07-14,0.009030098350967443
2025-07-15,0.00812971201168747
2025-07-16,-0.001328215324392849
2025-07-17,0.0015077153486959865
2025-07-18,0.00435495406817331
2025-07-21,0.0032960356867632614
2025-07-22,-0.018044908234279237
2025-07-23,-0.001104047027202188
2025-07-24,0.007964793055209488
2025-07-25,0.00386428666138719
2025-07-28,0.00417959834473678
2025-07-29,0.00561806041935252
2025-07-30,0.009819786971467346
2025-07-31,0.006329277471603297
2025-08-01,-0.012447765455756533
2025-08-04,0.0066078225304161044
2025-08-05,-0.005772993057850481
2025-08-06,0.0048614951311446225
2025-08-07,0.004213141608279637
2025-08-08,0.0016562977760160354
2025-08-11,0.008346121481695406
2025-08-12,-0.00038385632509801705
2025-08-13,-0.022428929024432442
2025-08-14,0.0031130650440495964
2025-08-15,-0.01652033192718695
2025-08-18,0.002732863069823144
2025-08-19,-0.01019108650131084
2025-08-20,0.006400420392758397
2025-08-21,-0.004992026183875481
2025-08-22,-0.005723713434653378
2025-08-25,0.005762614592559027
2025-08-26,0.006563796365252898
2025-08-27,-0.004630650565374677
2025-08-28,0.008829066473661268
2025-08-29,-0.005773225685556794
2025-09-02,0.00014313291641029427
2025-09-03,0.0003186108730365848
2025-09-04,0.006056140453069209
2025-09-05,-0.011485851708575651
2025-09-08,-0.0006670123205539524
2025-09-09,0.00397855297473002
2025-09-10,0.0068683249784366384
2025-09-11,0.0022745216850720658
2025-09-12,0.003962725330990446
2025-09-15,0.006368801882250685
2025-09-16,-0.0033693453172758676
2025-09-17,0.0006426512727375896
2025-09-18,0.004668153926188472
2025-09-19,0.005942885909009373
2025-09-22,0.002740915018868502
2025-09-23,-0.0022241460982601814
2025-09-24,-0.00624559859245325
2025-09-25,0.010232451320945272
2025-09-26,0.00012884721919040356
2025-09-29,-0.00514279032411334
2025-09-30,-0.0033736990960583227
2025-10-01,-0.014017416357586895
2025-10-02,0.0005791582258335944
2025-10-03,0.002213185244478427
2025-10-06,0.0033059452629739137
2025-10-07,-0.0020436303211915268
2025-10-08,0.003383499602939582
2025-10-09,-0.0031199815432071012
2025-10-10,-0.005439213748695974
2025-10-13,0.0016312398738121544
2025-10-14,0.0005513824123087966
2025-10-15,0.0020759562785529154
2025-10-16,-0.003142102639092216
2025-10-17,-0.005383754139424813
2025-10-20,0.00019762759708198785
2025-10-21,-0.010215735068447302
2025-10-22,-0.010582720262070706
2025-10-23,-0.00020150667080202727
2025-10-24,0.006705778691486709
2025-10-27,-0.0007496584640140982
2025-10-28,-0.006688413948546439
2025-10-29,0.006418137187830677
2025-10-30,-0.003982983227528621
2025-10-31,-0.0007888189879251891
2025-11-03,0.007493223003836043
2025-11-04,-0.005279907229037865
2025-11-05,-0.0011227418489140372
2025-11-06,0.002410437353730789
2025-11-07,-0.008728451530585449
2025-11-10,0.013214320068314796
2025-11-11,-0.005737969562341842
2025-11-12,-0.0006073732106357862
2025-11-13,-0.013973299138934726
2025-11-14,-0.0014327469854527395
2025-11-17,-0.0010949967459091838
2025-11-18,1.4465252208147436e-05
2025-11-19,0.008297399424011517
2025-11-20,-0.0006966175352895842
2025-11-21,-0.013755074253272484
2025-11-24,0.011751287583331538
2025-11-25,8.302301931302231e-05
2025-11-26,-0.0010031436122624256
2025-11-28,-0.004191501831974662
2025-12-01,-0.010120824177139285
2025-12-02,-0.003293234306765258
2025-12-03,-0.0006385375202431995
2025-12-04,-0.002101965388293817
2025-12-05,-0.004702502439533621
2025-12-08,0.00443765314006779
2025-12-09,0.0003110815084774357
2025-12-10,0.005964460315236144
2025-12-11,-0.0019198721108976866
2025-12-12,-0.010796186918256902
2025-12-15,0.00024392837668264767
2025-12-16,-0.004401258237491993
2025-12-17,-0.008883218303992354
2025-12-18,0.0068888050581064715
2025-12-19,0.010098883216537012
2025-12-22,0.006578716381778531
2025-12-23,-0.0001213259902692039
2025-12-24,-0.001083741606105815
2025-12-26,-0.0010729223803145295
2025-12-29,-0.010542296694590562
2025-12-30,-0.0035810108286744823
2025-12-31,-0.0012050386678801898
2026-01-02,0.012351458673524067
2026-01-05,-0.0037750712956891564
2026-01-06,0.003442834527023687
2026-01-07,-0.00584449479083162
2026-01-08,-0.011138632076647857
2026-01-09,0.0015170216411968499
2026-01-12,-0.0020818007862457863
2026-01-13,-0.0006128516286905086
2026-01-14,-0.005866493885716028
2026-01-15,0.011710610740374024
2026-01-16,0.008329833925355148
2026-01-20,-0.008780246147732158
2026-01-21,0.007046129072549344
2026-01-22,-0.008230740526384964
2026-01-23,-0.012191630736207517
2026-01-26,-0.0017041455139837935
2026-01-27,0.008437006586272154
2026-01-28,-0.001819485327564807
2026-01-29,0.0015042123913719123
2026-01-30,-0.005222057731546132
2026-02-02,0.0029529291759576516
2026-02-03,0.02240589925571173
2026-02-04,-0.014283491554003701
2026-02-05,0.014263564746470322
2026-02-06,0.0013462780448993373
2026-02-09,-0.006933238057417979
2026-02-10,-0.005812683579074695
2026-02-11,0.00790652957029573
2026-02-12,-0.01207351555105467
2026-02-13,-0.008701532856458397
2026-02-17,-0.0009284889639368926
2026-02-18,-0.008064492225019614
2026-02-19,0.008010811047530472
2026-02-20,-0.00018686662075613223
2026-02-23,0.016943751276550453
2026-02-24,-0.00826392863544599
2026-02-25,-0.010987420522643282
2026-02-26,-0.013470640406751186
2026-02-27,-0.0004286506241546126
2026-03-02,0.0019955128301635317
2026-03-03,-0.004953083465165174
2026-03-04,-0.001962046194824603
2026-03-05,-0.015007502619340167
2026-03-06,0.0007538654589574993
2026-03-09,-0.0029288613238520403
2026-03-10,0.005604350586825057
2026-03-11,0.0006563139329052192
2026-03-12,0.008853824383515231
2026-03-13,-0.0011924433731650694
2026-03-16,-0.0031975635981411742
2026-03-17,-0.007044985499482463
2026-03-18,0.005534350506147922
2026-03-19,0.0021837534780463734
2026-03-20,-0.0005988445425541099
2026-03-23,-0.004372758608336021
2026-03-24,0.018814159567258334
2026-03-25,-0.0004798438290447952
2026-03-26,0.005190047670534016
2026-03-27,0.011889023945187501
2026-03-30,-0.012256100477454922
2026-03-31,-0.009334828442094824
2026-04-01,-0.001964463753069947
2026-04-02,-0.0025750122585338673
2026-04-06,0.0025131873670017875
2026-04-07,0.0016851204410196071
2026-04-08,0.0033237523910152234
2026-04-09,0.004375732347690164
2026-04-10,0.0072681629276589565
2026-04-13,-0.018196410125799364
2026-04-14,-0.005175545642694902
2026-04-15,-0.013104353992707573
2026-04-16,-0.009572403910055462
2026-04-17,0.0015182716305415398
2026-04-20,0.003979861227378578
2026-04-21,-0.0024017303650125735
2026-04-22,-0.004455685785928015
2026-04-23,0.002113049479091905
2026-04-24,-0.004069926618611554
2026-04-27,0.004803061848233295
2026-04-28,-0.0044165154038353985
2026-04-29,0.005517182642433691
2026-04-30,0.00921402439181204
2026-05-01,-0.004986192684275389
