Sector,Ticker,Model,Mean IC,Mean RankIC,Hit Rate,Sharpe Ratio,Max Drawdown
Technology,SNOW,Dual Fusion,-0.3070467238055517,-0.320291269512868,0.3964497041420118,-1.0101743282648978,-0.0220745316832372
Technology,SNOW,Price-Only,-0.3120464700841721,-0.3647911697037277,0.335243553008596,-1.1486975522854863,-0.0233816454248755
Technology,TXN,Dual Fusion,-0.3839225368840666,-0.3401431607023653,0.3712871287128713,-1.2613391726994387,-0.0147822285309861
Technology,TXN,Price-Only,0.0077393589337898,-0.0150453424397647,0.4382470119521912,-1.03776213840461,-0.0216554801653649
Finance,AXP,Dual Fusion,-0.0768257855313205,-0.0306269149913382,0.5985130111524164,0.3239595563069911,-0.0111226606505435
Finance,AXP,Price-Only,-0.1380950406754701,-0.1692112669343894,0.5667655786350149,0.2411511009895094,-0.0104539813148385
Finance,BAC,Dual Fusion,-0.075098984829923,0.0282355575459023,0.56,-0.0989051330556879,-0.0073306016905978
Finance,BAC,Price-Only,0.0563032542918365,0.0372077922077922,0.5942857142857143,0.0940504215932471,-0.0058326076809145
Finance,BLK,Dual Fusion,0.1320448312860117,0.2497583798269121,0.5436893203883495,-0.9381259564907852,-0.0053306760222321
Finance,BLK,Price-Only,0.0015286776331504,-0.0217170524326877,0.496551724137931,-1.0145324656363277,-0.0077574322597695
Finance,C,Dual Fusion,-0.0060418940003971,-0.020761129565206,0.623229461756374,1.1235197253944922,-0.0100976931566518
Finance,C,Price-Only,-0.0054478542178501,-0.081434102677045,0.6076696165191741,0.6860982878698041,-0.0140681411591568
Finance,COF,Dual Fusion,0.0123873989576732,0.0634119222990023,0.4849785407725321,0.6229471407807415,-0.0073447985052975
Finance,COF,Price-Only,-0.0562392859204903,-0.1772964005593502,0.4117647058823529,-0.2171641982801826,-0.0085865069271921
Finance,GS,Dual Fusion,-0.0224959147893254,-0.0311713193406842,0.6208791208791209,1.232202231633449,-0.0104493468092714
Finance,GS,Price-Only,0.0138069481828965,-0.0716202539409924,0.5824175824175825,0.7404925016311346,-0.0088836179277478
Finance,JPM,Dual Fusion,-0.2061753545376958,-0.2437236753052745,0.6382022471910113,0.943603256961908,-0.010625884192245
Finance,JPM,Price-Only,0.0095481067434154,-0.133469181500301,0.6111111111111112,0.675554192705135,-0.010190087627803
